model_name,link
en-af,https://drive.google.com/file/d/1-Iz-m5FpNQtOc0i0OyY_Vclf1K9MSPj-/view?usp=sharing
en-bin,https://drive.google.com/file/d/1RwzkuVlpQBuaCHYfHYoHWjqiWRtY3ywM/view?usp=sharing
en-ddn,https://drive.google.com/file/d/1eDEk_OJxSVDMH-t5Ks01Q9pzoToZPeFN/view?usp=sharing
en-fon,https://drive.google.com/file/d/1uB16wHg_lTXZvJL0zM84F4k1WHnqkp3j/view?usp=sharing
en-gbe,https://drive.google.com/file/d/1m3aipUO5U6ccJcjmEvTfm6_RJWJjMfHd/view?usp=sharing
en-ha,https://drive.google.com/file/d/1B43F0qJ6tGCDL85OSOjkrLFRfcPQV87N/view?usp=sharing
en-ig,https://drive.google.com/file/d/1w9N0sJWtcmNIXdMMInVa-aP5t9RavJ2V/view?usp=sharing
en-ish,https://drive.google.com/file/d/1fL_FdsuBO-a9lZovF0TRvYcGTo4wl1Dj/view?usp=sharing
en-iso,https://drive.google.com/file/d/16EKlUCn1E4KfbcW_BSkfPyF6prOo3Onh/view?usp=sharing
en-kam,https://drive.google.com/file/d/12RUPwJCr7b37UfqojbkBXvm2Dleoa51F/view?usp=sharing
en-ki,https://drive.google.com/file/d/11_iH0poyTYLqgMZ1bNZWk4ADSfw-sb74/view?usp=sharing
en-ln,https://drive.google.com/file/d/1CNqr5v7NMvkHCSYIW1o4Fjndr1mpZY2j/view?usp=sharing
en-luo,https://drive.google.com/file/d/1ufQ3gLoZga0RQi7_VoY6tJUQZ3bkpkE6/view?usp=sharing
en-nr,https://drive.google.com/file/d/19FwYpY0BXMN81Otqo9yC36v9NtQCHgNr/view?usp=sharing
en-nya,https://drive.google.com/file/d/1-hFnoutqApYe_f355p3KqQ9VFKqI2bZW/view?usp=sharing
en-pcm,https://drive.google.com/file/d/1d1irxkACTQ_XnI8ImdMG4CT_jFhYr7-O/view?usp=sharing
en-sn,https://drive.google.com/file/d/1GPEOp2pbwSEKEObdM26PmmSup2PSjA3h/view?usp=sharing
en-st,https://drive.google.com/file/d/1ayQH_5yLT2fhwcpHtkWJ5LAHFJ2K-en8/view?usp=sharing
en-sw,https://drive.google.com/file/d/1dsYcyK8_e4utDKJLbcXIixfTEuJ6Fuky/view?usp=sharing
en-ti,https://drive.google.com/file/d/14d7U3H-CrIjZSK48KxGTXkkW42ttRjdo/view?usp=sharing
en-tiv,https://drive.google.com/file/d/1afDKgZNMddTnc6iBg_zS2Doy_K2XzxO2/view?usp=sharing
en-twi,https://drive.google.com/file/d/1t10l6BgVmIbN1bwi_qmEyMKls_qjiSyJ/view?usp=sharing
en-urh,https://drive.google.com/file/d/17E5KGv9LfzGYhBCm7AXUxwjl8LCp2wc2/view?usp=sharing
en-ve,https://drive.google.com/file/d/1bGy0SADyxL--_6Li-zYTjxgCiWc57xsk/view?usp=sharing
en-xh,https://drive.google.com/file/d/1m1WN3pcWo8ebB4ZDUwXHiJiMSMIlCd2A/view?usp=sharing
en-yo,https://drive.google.com/file/d/1DNg7vmMuo1-OIsOftYDUu_GmY6R-hVSW/view?usp=sharing
en-zu,https://drive.google.com/file/d/1nQmdOkbOQPLCXyXT22g7_RL30EQyQGFO/view?usp=sharing
fr-ln,https://drive.google.com/file/d/12_2CQIogd7qkSjkUWr8TAKfShVl_A910/view?usp=sharing
fr-swc,https://drive.google.com/file/d/1ZVlhfzxNAfTPbULaYY0jE5IlFSwUhwqo/view?usp=sharing
sn-en,https://drive.google.com/file/d/1XONpJ02Ge7M1YZJBC7FUVMEUNVK9bZrz/view?usp=sharing
sw-en,https://drive.google.com/file/d/1RAKamOSQP-5xPr0aKoZSHINLUzCUF5Hv/view?usp=sharing
